TCGA.3C.AAAU.01,TCGA.3C.AALI.01,TCGA.3C.AALJ.01,TCGA.3C.AALK.01,TCGA.4H.AAAK.01,TCGA.5L.AAT0.01,TCGA.5T.A9QA.01,TCGA.A1.A0SB.01,TCGA.A1.A0SF.01,TCGA.A1.A0SG.01
0.671388664,1.576897935,-0.360746148,-0.86451539,1.20066521,-0.523810695,-1.289940772,-0.576647252,0.9373934,-0.770684953
-0.399289045,-0.005637673,1.810009882,-0.458607312,0.302061366,-0.334009546,0.744642321,-1.844077026,0.860265023,-0.675357992
-1.652211654,0.790789861,0.391346933,0.185849269,0.256460076,-1.703151674,0.879077031,0.951597661,-0.685240051,0.585482549
0.671388664,1.576897935,-0.360746148,-0.86451539,1.20066521,-0.523810695,-1.289940772,-0.576647252,0.9373934,-0.770684953
-0.33525425,2.110643341,0.530138223,-0.478991293,0.675405378,-0.112031014,-0.835382723,-1.591043331,0.352650445,-0.316134776
-1.652211654,0.790789861,0.391346933,0.185849269,0.256460076,-1.703151674,0.879077031,0.951597661,-0.685240051,0.585482549
-1.14272496,-1.744742824,0.270432761,-0.062261321,-0.019486368,-0.109789047,1.882678846,0.005861753,1.004472086,-0.084440927
1.097434644,0.247842494,0.354346858,0.041673496,-1.16553881,-2.16462791,-0.01255579,0.16430008,1.220061227,0.21706371
-0.766664946,-0.539926332,-0.377770862,-0.10677184,-0.28252406,0.068510605,-1.101081822,2.535274416,0.484333599,0.08662124
1.472239128,-1.134255149,0.310036161,0.93898201,0.837895432,-0.652763817,0.939714857,-0.651518721,-0.959532431,-1.10079747
1.097434644,0.247842494,0.354346858,0.041673496,-1.16553881,-2.16462791,-0.01255579,0.16430008,1.220061227,0.21706371
-0.360499396,0.743073596,-0.148523351,0.542752125,-0.051828973,1.417576904,0.713531664,-2.152734082,-0.8986163,0.195267814
-0.879039908,-0.954695893,-1.537374138,0.329866456,0.276462231,0.355932805,2.100470834,0.372462684,0.177282955,-0.241368026
-1.83131827,-1.310599771,1.112156962,0.719362372,-0.236975582,-0.073897413,0.167500423,-0.264348638,0.340068903,1.378051014
-0.465933046,-0.084353927,0.935733334,2.379794082,-0.436682115,0.158592425,-0.729863675,-1.005848038,-0.064135127,-0.687303913
1.731036252,1.994598827,-0.838342687,-0.522779929,-0.314066863,-0.427327537,-0.192970545,-0.32332717,-0.635328272,-0.471492077
-0.703078372,0.721093865,-0.378720767,-1.078990327,-0.475515369,-0.195805668,0.554731499,2.243139606,0.303995856,-0.990850323
-1.909302089,0.387129038,-1.348795365,0.065714582,0.14803677,0.130856487,0.261856143,0.258992762,1.77586856,0.229643113
-1.400648627,0.653065433,-0.762584847,-0.302050923,0.060702297,1.224566597,0.527838525,-0.863181341,1.664069877,-0.80177699
1.053384408,-0.470020555,-0.33822744,-0.333705531,-0.357597737,-0.325004471,2.491821974,-0.655970938,-0.576807098,-0.487872612
-1.539610917,0.283145519,1.756120491,0.136592238,0.19326714,0.24364483,0.248797094,0.251659463,-1.783484737,0.209868879
-0.127234437,-0.610618681,0.730841448,-0.568716504,-0.60354161,-0.615953197,0.086129281,1.984067965,-1.367929808,1.092955544
0.999146699,0.008398673,0.57274495,-0.167779885,0.435425555,0.128817753,1.657967726,-0.863449965,-1.156634298,-1.614637209
2.662463249,-0.334105366,0.496269069,-0.304019336,-0.170136501,-0.353661286,-0.461970995,-0.215265547,-0.956886193,-0.362687095
0.589279211,-0.399907945,-1.186845698,-0.552952993,0.5843395,-0.579811733,1.532557139,1.453318224,-0.170806931,-1.269168773
